number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,author_class
18.01,103.43,4.789134967290832,6.47,1.11,0.07,-4.19597229317046,0.87,0.25,0.26,0.0,0.28,0.12,0.63,1.17,1.34,0.26,0.44,0.0,0.0,0.0,0.02,0.02,0.14,0.14,0.2,0.0,0.0,0.0,0.0,0.0,0.04,0.7,0.35,0.0,0.13,0.77,0.0,2
16.88,98.67,4.9453110538606,6.13,1.03,0.28,-4.581799999999999,1.14,0.27,0.27,0.0,0.28,0.11,0.52,0.92,1.2,0.22,0.3,0.0,0.0,0.0,0.02,0.04,0.04,0.18,0.06,0.01,0.0,0.0,0.0,0.01,0.02,0.5,0.22,0.0,0.14,0.81,0.0,2
16.33,93.4,4.83786851241912,6.21,1.07,0.11,-4.596682731169626,0.91,0.22,0.22,0.02,0.21,0.17,0.36,1.12,1.37,0.21,0.255,0.0,0.0,0.0,0.01,0.02,0.1,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.01,0.47,0.16,0.0,0.11,0.66,0.0,2
16.33,98.11,4.845164724930696,5.38,1.12,0.18,-4.177576791181874,1.04,0.39,0.39,0.01,0.27,0.1,0.55,1.17,1.27,0.15,0.425,0.0,0.0,0.0,0.05,0.0,0.05,0.14,0.15,0.0,0.0,0.02,0.0,0.0,0.06,0.75,0.11,0.0,0.15,1.15,0.0,2
16.78,103.0,5.310457817201748,5.48,1.37,0.18,-3.553666507747316,1.16,0.33,0.33,0.0,0.3,0.11,0.4,0.98,1.24,0.29,0.37,0.0,0.0,0.0,0.03,0.04,0.05,0.24,0.24,0.0,0.0,0.0,0.0,0.01,0.03,0.68,0.15,0.0,0.14,1.04,0.0,2
17.02,104.33,5.036551660308528,5.65,1.39,0.18,-3.8148321974148054,1.34,0.33,0.33,0.0,0.34,0.05,0.38,1.11,1.41,0.22,0.45,0.0,0.0,0.0,0.08,0.0,0.13,0.27,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.7,0.2,0.0,0.12,1.0,0.0,2
15.76,92.91,5.206546328524808,5.82,1.19,0.06,-4.779006091370558,0.84,0.36,0.36,0.0,0.43,0.07,0.5,1.12,1.16,0.19,0.285,0.0,0.0,0.0,0.02,0.02,0.06,0.09,0.15,0.0,0.0,0.0,0.0,0.0,0.02,0.55,0.26,0.0,0.04,1.08,0.0,2
16.45,99.01,5.02402460472279,5.45,1.33,0.09,-3.90933282674772,0.95,0.41,0.41,0.0,0.45,0.08,0.4,0.97,1.18,0.24,0.425,0.0,0.0,0.0,0.0,0.04,0.09,0.23,0.24,0.0,0.0,0.02,0.0,0.01,0.0,0.69,0.16,0.0,0.08,1.2,0.0,2
11.49,70.79,5.037241847737745,2.63,0.71,0.58,-7.042059268929503,2.1,0.89,0.89,0.0,0.19,0.01,0.1,0.96,0.81,0.11,0.825,0.0,0.0,0.0,0.01,0.0,0.08,0.08,0.02,0.0,0.0,0.02,0.0,0.0,0.01,1.27,0.14,0.0,0.04,2.69,0.0,2
11.55,72.73,5.066565447887987,2.74,0.89,0.63,-6.7230757575757565,2.12,0.92,0.92,0.0,0.2,0.0,0.03,1.16,0.49,0.1,0.965,0.0,0.0,0.0,0.02,0.0,0.17,0.07,0.13,0.0,0.01,0.0,0.0,0.01,0.02,1.33,0.11,0.0,0.0,2.75,0.0,2
13.08,82.1,5.103200037117202,3.09,0.84,1.28,-6.375038532110091,2.33,0.95,0.95,0.0,0.21,0.02,0.05,0.98,0.41,0.06,0.835,0.0,0.0,0.0,0.03,0.0,0.14,0.07,0.02,0.0,0.0,0.0,0.0,0.1,0.03,1.35,0.11,0.0,0.02,2.89,0.0,2
12.1,74.69,4.927292915148967,2.6,0.86,0.63,-7.018933884297519,2.99,0.95,0.95,0.0,0.05,0.01,0.05,0.99,0.51,0.04,0.985,0.0,0.0,0.0,0.04,0.0,0.59,0.08,0.02,0.0,0.0,0.04,0.0,0.0,0.04,1.39,0.05,0.0,0.04,2.9,0.0,2
10.61,65.85,5.081173716565512,2.24,0.88,0.49,-7.437208388312911,2.17,0.86,0.86,0.0,0.18,0.01,0.04,0.88,0.5,0.07,1.385,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.02,0.0,0.0,2.53,0.0,2
11.77,69.59,4.870773708890581,2.58,0.79,0.42,-7.460702548853016,3.17,0.91,0.91,0.0,0.21,0.0,0.01,1.09,0.33,0.01,0.89,0.0,0.0,0.0,0.02,0.0,1.02,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.02,1.42,0.07,0.0,0.0,2.73,0.0,2
12.52,72.66,4.62427480599036,2.69,0.98,0.17,-8.021097763578275,3.86,0.9,0.9,0.0,0.03,0.0,0.03,0.98,0.25,0.04,1.095,0.0,0.0,0.0,0.0,0.0,1.24,0.1,0.0,0.0,0.0,0.02,0.0,0.02,0.0,1.51,0.21,0.0,0.02,2.84,0.0,2
11.38,74.02,5.287323188498059,2.22,0.86,0.85,-6.133170826010545,2.55,0.9,0.9,0.0,0.02,0.11,0.03,0.91,0.46,0.06,0.87,0.0,0.0,0.0,0.02,0.0,0.69,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.02,1.38,0.07,0.0,0.0,2.71,0.0,2
12.33,76.51,5.130374961817097,2.43,0.72,0.91,-6.589572506082725,2.87,0.96,0.96,0.0,0.01,0.0,0.05,0.99,0.44,0.07,0.655,0.0,0.01,0.0,0.03,0.0,0.3,0.16,0.03,0.0,0.0,0.02,0.0,0.02,0.03,1.19,0.1,0.0,0.0,2.92,0.0,2
12.98,80.45,5.055087181145309,3.04,0.66,1.29,-6.3096181818181805,2.52,0.98,0.98,0.0,0.03,0.01,0.07,1.0,0.53,0.1,0.63,0.0,0.0,0.0,0.07,0.0,0.34,0.09,0.0,0.0,0.0,0.06,0.0,0.06,0.07,1.22,0.09,0.0,0.0,2.98,0.0,2
18.69,120.73,5.332566304581231,5.5,0.66,1.62,-1.7158812734082396,1.86,0.83,0.83,0.0,0.54,0.1,0.29,1.38,1.38,0.27,0.51,0.0,0.0,0.02,0.19,0.02,0.19,0.13,0.03,0.0,0.0,0.02,0.0,0.0,0.25,1.02,0.28,0.0,0.18,2.51,0.0,2
17.25,113.22,5.315077063843237,4.77,0.94,1.25,-2.0013985507246375,1.74,0.79,0.79,0.0,0.3,0.02,0.34,1.5,1.21,0.23,0.86,0.0,0.01,0.0,0.11,0.0,0.07,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.12,1.46,0.25,0.0,0.18,2.21,0.0,2
19.89,125.5,5.122363240806994,6.31,1.22,0.87,-2.1316430869783805,2.06,0.76,0.79,0.02,0.18,0.13,0.4,1.47,1.53,0.21,1.015,0.01,0.07,0.0,0.11,0.02,0.1,0.17,0.22,0.0,0.01,0.0,0.0,0.02,0.11,1.55,0.37,0.0,0.12,2.14,0.0,2
19.92,124.61,5.110920386569568,6.02,1.29,0.73,-1.7553365461847381,1.74,0.58,0.58,0.03,0.17,0.09,0.4,1.29,1.52,0.24,0.76,0.0,0.07,0.02,0.05,0.06,0.1,0.22,0.18,0.01,0.01,0.0,0.0,0.0,0.05,1.48,0.24,0.0,0.14,1.71,0.0,2
21.75,133.25,4.918378419005615,7.49,1.11,0.63,-1.0637298850574695,1.5,0.45,0.46,0.01,0.16,0.12,0.6,1.18,1.74,0.36,0.765,0.0,0.01,0.0,0.07,0.02,0.1,0.16,0.06,0.02,0.0,0.0,0.0,0.0,0.09,1.43,0.21,0.0,0.23,1.32,0.0,2
25.29,154.74,5.017503524807903,9.28,1.04,0.5,0.4553854883353097,1.5,0.4,0.4,0.04,0.17,0.19,0.92,1.25,1.93,0.35,0.65,0.0,0.04,0.0,0.11,0.02,0.1,0.28,0.13,0.0,0.0,0.02,0.0,0.0,0.11,1.2,0.26,0.0,0.14,1.19,0.0,2
22.33,139.74,5.154582418427676,7.28,1.45,0.6,-0.8306954321540516,1.84,0.45,0.45,0.01,0.3,0.15,0.69,1.1,1.86,0.35,0.91,0.02,0.02,0.0,0.04,0.04,0.07,0.18,0.16,0.0,0.01,0.0,0.0,0.0,0.05,1.18,0.16,0.0,0.12,1.35,0.0,2
21.5,143.05,5.4787371764610375,7.13,1.3,1.46,0.006720930232559041,1.56,0.51,0.51,0.01,0.34,0.09,0.49,1.22,1.97,0.32,0.745,0.0,0.0,0.01,0.03,0.06,0.04,0.22,0.1,0.0,0.02,0.0,0.0,0.0,0.03,1.27,0.07,0.0,0.04,1.54,0.0,2
22.13,137.46,5.010425847849771,7.74,1.11,0.74,-0.5607460009037517,1.22,0.36,0.36,0.0,0.23,0.08,0.65,1.05,1.69,0.3,0.84,0.0,0.04,0.0,0.03,0.09,0.07,0.19,0.19,0.0,0.0,0.02,0.0,0.01,0.04,1.08,0.27,0.0,0.05,1.06,0.0,2
18.98,120.27,5.320415067433077,6.63,1.27,0.88,-2.0515513171759743,1.26,0.47,0.47,0.02,0.44,0.07,0.47,0.98,1.37,0.35,1.33,0.0,0.0,0.0,0.02,0.01,0.07,0.12,0.14,0.01,0.0,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.07,1.37,0.0,2
17.47,112.54,5.019982409929774,4.69,0.35,2.03,-3.967541442472811,1.99,0.82,0.82,0.0,0.71,0.2,0.53,1.2,0.81,0.21,2.925,0.0,0.0,0.0,0.23,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.23,0.97,0.24,0.0,0.05,2.51,0.0,2
16.09,104.01,5.269305552592913,4.37,0.63,1.57,-4.1446078931013055,1.8,0.74,0.74,0.0,0.91,0.06,0.39,1.09,0.75,0.22,2.715,0.0,0.0,0.0,0.14,0.0,0.03,0.1,0.12,0.0,0.01,0.0,0.0,0.0,0.14,0.85,0.27,0.0,0.0,2.13,0.0,2
17.2,111.79,5.13492918798309,4.66,0.44,1.98,-3.9287441860465115,2.26,0.75,0.75,0.0,0.85,0.22,0.37,1.24,0.92,0.16,2.6,0.0,0.0,0.0,0.15,0.07,0.03,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.16,0.84,0.3,0.0,0.02,2.32,0.0,2
16.39,104.88,5.057439841249993,4.56,0.54,1.48,-4.223037278828553,1.87,0.75,0.75,0.01,0.96,0.09,0.41,1.04,0.8,0.25,2.585,0.0,0.0,0.0,0.07,0.04,0.02,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.07,0.87,0.32,0.0,0.02,2.34,0.0,2
17.62,108.79,5.028546936916828,5.77,0.67,0.52,-4.2513441543700345,1.92,0.66,0.66,0.0,1.43,0.14,0.46,1.05,1.04,0.1,2.47,0.0,0.0,0.0,0.13,0.0,0.09,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.13,0.8,0.42,0.0,0.01,1.98,0.0,2
15.05,95.47,5.33426415839374,4.48,0.9,0.45,-4.9142541528239185,1.56,0.61,0.61,0.0,1.22,0.24,0.33,1.08,0.68,0.09,2.57,0.0,0.0,0.0,0.04,0.18,0.1,0.04,0.19,0.0,0.0,0.0,0.0,0.0,0.04,0.84,0.29,0.0,0.04,1.82,0.0,2
18.38,109.28,4.71311704946714,5.86,0.39,0.33,-4.357926224156692,2.12,0.84,0.84,0.0,0.88,0.31,0.53,1.12,0.9,0.2,2.645,0.0,0.0,0.0,0.09,0.15,0.08,0.02,0.04,0.01,0.01,0.0,0.0,0.0,0.09,0.95,0.39,0.0,0.05,2.55,0.0,2
17.41,108.22,5.084745590570645,5.07,0.3,0.96,-4.225143078690408,2.06,0.88,0.88,0.01,0.75,0.15,0.34,0.98,0.97,0.28,2.975,0.0,0.0,0.0,0.16,0.04,0.07,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.16,0.95,0.37,0.0,0.02,2.7,0.0,2
16.45,105.99,5.187715791908146,4.45,0.35,1.73,-4.124530395136777,2.03,0.85,0.85,0.01,0.51,0.11,0.32,1.03,0.75,0.22,3.07,0.0,0.0,0.0,0.14,0.12,0.06,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.14,0.92,0.22,0.0,0.13,2.58,0.0,2
17.49,105.98,5.043264419551932,4.86,0.35,0.42,-4.262096112064036,1.87,0.78,0.78,0.03,0.39,0.15,0.53,1.01,1.07,0.14,2.68,0.0,0.0,0.0,0.22,0.06,0.08,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.23,0.94,0.28,0.0,0.04,2.38,0.0,2
11.34,69.12,5.0971613351149845,3.47,0.79,0.27,-5.787682186948853,1.42,0.37,0.37,0.02,0.08,0.1,0.18,0.8,0.9,0.07,0.53,0.0,0.0,0.0,0.01,0.06,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.82,0.07,0.0,0.01,1.11,0.0,2
11.82,69.51,4.976659149711082,3.86,0.74,0.14,-6.328084940778343,1.18,0.39,0.39,0.0,0.09,0.08,0.16,0.8,0.88,0.09,0.57,0.0,0.0,0.0,0.03,0.02,0.03,0.15,0.04,0.0,0.01,0.0,0.0,0.0,0.04,0.76,0.11,0.0,0.04,1.15,0.0,2
13.4,79.9,5.078804713678956,4.39,0.85,0.2,-5.582358208955224,1.23,0.42,0.42,0.06,0.08,0.09,0.21,0.71,1.02,0.14,0.735,0.0,0.0,0.0,0.01,0.04,0.03,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.01,0.95,0.1,0.0,0.08,1.23,0.0,2
13.79,81.07,4.867916606506742,4.64,0.75,0.21,-5.197541769398114,0.92,0.4,0.4,0.01,0.14,0.22,0.22,0.74,1.1,0.08,0.64,0.0,0.02,0.0,0.01,0.11,0.08,0.09,0.15,0.0,0.0,0.0,0.0,0.0,0.02,0.84,0.05,0.0,0.06,1.18,0.0,2
12.79,75.81,4.862990633491902,4.25,0.72,0.19,-5.499945347928069,1.22,0.44,0.44,0.0,0.12,0.14,0.27,0.77,0.78,0.15,0.615,0.0,0.01,0.0,0.07,0.08,0.11,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.95,0.11,0.0,0.02,1.32,0.0,2
11.93,72.16,5.166479949257626,3.95,0.84,0.14,-5.912656244761106,1.15,0.28,0.28,0.03,0.18,0.05,0.18,0.62,0.93,0.06,0.53,0.0,0.0,0.0,0.01,0.02,0.06,0.08,0.08,0.0,0.01,0.0,0.0,0.04,0.01,0.66,0.14,0.0,0.11,0.84,0.0,2
13.81,81.5,4.859681498275011,4.74,0.78,0.17,-5.2653599565532225,1.08,0.42,0.42,0.02,0.08,0.1,0.21,0.83,1.01,0.08,0.65,0.0,0.0,0.0,0.01,0.0,0.06,0.06,0.15,0.0,0.0,0.0,0.0,0.01,0.03,1.0,0.05,0.0,0.11,1.25,0.0,2
12.49,73.58,5.022497987862681,4.23,0.72,0.12,-5.768379583666933,1.07,0.29,0.29,0.0,0.19,0.21,0.23,0.76,1.05,0.13,0.46,0.0,0.0,0.0,0.03,0.02,0.05,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.64,0.08,0.0,0.02,0.88,0.0,2
13.46,79.19,4.690160715587333,4.55,0.74,0.17,-5.282204754829124,1.18,0.34,0.34,0.0,0.22,0.11,0.27,0.63,0.92,0.15,0.76,0.02,0.0,0.0,0.0,0.08,0.08,0.14,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.9,0.13,0.0,0.04,1.01,0.0,2
13.93,83.83,5.214572086564094,4.22,0.88,0.12,-4.862971213208901,0.89,0.41,0.41,0.0,0.15,0.09,0.27,0.97,1.2,0.2,0.73,0.0,0.01,0.0,0.03,0.0,0.08,0.08,0.06,0.0,0.0,0.0,0.0,0.01,0.03,0.9,0.16,0.0,0.06,1.22,0.0,2
21.32,124.41,5.10183271628435,7.05,1.4,0.48,-2.5873013133208254,1.83,0.23,0.24,0.04,1.53,0.11,0.82,1.63,1.42,0.26,0.46,0.0,0.0,0.0,0.02,0.08,0.16,0.48,0.11,0.0,0.0,0.0,0.0,0.0,0.04,0.4,0.64,0.0,0.24,0.69,0.0,2
22.87,133.87,4.7842193695523045,7.48,1.62,0.63,-1.7948801486663726,2.17,0.25,0.25,0.0,1.43,0.17,1.3,1.87,1.39,0.24,0.435,0.0,0.0,0.0,0.02,0.08,0.15,0.45,0.15,0.0,0.0,0.0,0.0,0.0,0.02,0.37,0.8,0.0,0.08,0.76,0.0,2
17.56,112.46,5.5647749619208255,5.62,1.48,0.68,-3.3052674259681076,1.48,0.28,0.29,0.0,1.98,0.25,0.64,1.33,1.56,0.24,0.6,0.0,0.0,0.0,0.02,0.04,0.1,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.42,0.45,0.0,0.04,0.79,0.0,2
18.79,119.59,5.231623520364696,5.99,1.52,0.68,-3.1186323044172433,1.33,0.34,0.34,0.0,1.46,0.15,0.6,1.79,1.61,0.31,1.31,0.0,0.0,0.0,0.0,0.04,0.07,0.26,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.46,0.0,0.14,1.02,0.0,2
16.63,103.97,5.193983582136128,4.95,1.27,0.56,-4.215424473842454,1.47,0.36,0.36,0.0,1.48,0.15,0.64,1.36,1.26,0.15,1.465,0.0,0.0,0.0,0.02,0.02,0.14,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.71,0.4,0.0,0.05,1.06,0.0,2
17.57,105.41,5.022429595180465,5.52,1.2,0.45,-3.8618889584519067,1.61,0.4,0.4,0.0,0.95,0.23,0.77,1.64,1.03,0.13,0.975,0.0,0.0,0.0,0.0,0.02,0.06,0.26,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.67,0.51,0.0,0.22,1.18,0.0,2
16.38,99.24,5.06857515166388,5.04,1.23,0.72,-4.000578998778998,2.47,0.41,0.41,0.02,0.91,0.26,0.55,1.88,1.11,0.15,0.81,0.0,0.0,0.0,0.01,0.0,0.02,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.8,0.36,0.0,0.17,1.21,0.0,2
22.6,133.29,4.836191244698844,7.93,1.35,0.37,-1.8262654867256636,1.46,0.38,0.39,0.01,1.06,0.17,1.0,2.46,2.0,0.41,0.615,0.0,0.0,0.0,0.0,0.02,0.29,0.34,0.11,0.0,0.0,0.02,0.0,0.0,0.05,0.61,0.54,0.0,0.32,1.17,0.0,2
23.1,140.17,5.239092959107978,7.58,1.24,0.78,-1.4063679653679646,1.59,0.4,0.4,0.0,1.57,0.14,1.05,2.15,1.75,0.26,0.445,0.0,0.0,0.0,0.05,0.1,0.13,0.24,0.08,0.0,0.01,0.0,0.0,0.0,0.05,0.55,0.5,0.0,0.07,1.22,0.0,2
21.44,124.64,4.885930966263038,7.3,1.22,0.6,-2.968511940298505,1.85,0.35,0.35,0.0,1.13,0.28,0.78,1.85,1.76,0.29,0.635,0.0,0.0,0.0,0.01,0.04,0.21,0.45,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.61,0.52,0.0,0.06,1.05,0.0,2
18.99,111.8,4.753707575222472,6.35,1.2,0.12,-3.399276513954714,1.55,0.44,0.45,0.0,0.32,0.09,0.35,0.98,1.52,0.38,1.045,0.0,0.0,0.0,0.01,0.0,0.1,0.11,0.21,0.0,0.0,0.0,0.0,0.0,0.01,1.43,0.2,0.0,0.06,1.31,0.0,2
25.12,139.38,4.442028684791084,10.15,0.96,0.27,-1.5514006369426738,0.85,0.14,0.14,0.0,0.14,0.12,0.53,0.91,2.47,0.62,0.565,0.0,0.0,0.0,0.07,0.0,0.07,0.1,0.17,0.0,0.01,0.0,0.0,0.0,0.08,0.99,0.38,0.0,0.14,0.39,0.0,2
22.46,128.86,4.661300485808319,8.33,0.92,0.41,-2.012879608192339,0.87,0.19,0.19,0.0,0.2,0.35,0.49,0.96,2.24,0.7,0.745,0.0,0.0,0.0,0.07,0.02,0.04,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.1,1.01,0.22,0.0,0.15,0.57,0.0,2
21.34,121.54,4.589366215826967,7.91,1.0,0.09,-2.6170719775070292,0.73,0.2,0.2,0.0,0.3,0.1,0.37,1.1,1.93,0.4,0.85,0.0,0.0,0.0,0.07,0.0,0.06,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.07,1.2,0.3,0.0,0.09,0.62,0.0,2
21.68,123.77,4.583030568507657,8.33,1.01,0.32,-2.470316605166051,1.34,0.15,0.16,0.12,0.11,0.09,0.64,1.04,2.08,0.48,0.755,0.01,0.0,0.0,0.04,0.0,0.1,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.06,1.11,0.12,0.0,0.02,0.41,0.0,2
21.5,123.63,4.604362921805995,7.54,1.09,0.35,-2.4081627906976735,1.45,0.28,0.28,0.0,0.17,0.12,0.54,1.22,1.72,0.4,0.91,0.0,0.0,0.0,0.07,0.11,0.05,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.08,1.18,0.3,0.0,0.05,0.87,0.0,2
19.38,110.39,4.616228659376821,7.12,1.1,0.18,-3.757496594427245,1.3,0.33,0.33,0.02,0.19,0.15,0.3,1.01,1.72,0.34,1.0,0.0,0.0,0.0,0.05,0.02,0.08,0.07,0.29,0.0,0.0,0.0,0.0,0.0,0.05,1.26,0.16,0.0,0.16,1.01,0.0,2
19.71,113.72,4.711151609329248,7.26,1.16,0.09,-3.035824505327245,1.14,0.27,0.28,0.0,0.05,0.05,0.2,0.66,1.65,0.35,0.805,0.0,0.0,0.0,0.03,0.05,0.06,0.08,0.3,0.05,0.0,0.0,0.0,0.0,0.03,1.25,0.17,0.0,0.05,0.8,0.0,2
20.34,118.81,4.752059236335773,6.96,1.09,0.15,-2.8364560471976397,1.1,0.28,0.28,0.0,0.08,0.13,0.51,0.96,1.63,0.28,1.06,0.0,0.0,0.0,0.05,0.01,0.05,0.14,0.27,0.0,0.01,0.0,0.0,0.0,0.07,1.24,0.31,0.0,0.18,0.86,0.0,2
19.21,111.8,4.710593662334166,6.65,1.08,0.11,-3.4051275897969795,1.63,0.19,0.2,0.02,0.09,0.17,0.38,0.91,1.64,0.43,1.095,0.0,0.0,0.0,0.02,0.0,0.11,0.18,0.26,0.0,0.0,0.0,0.0,0.0,0.02,1.07,0.11,0.0,0.04,0.57,0.0,2
11.81,67.06,4.782223448102455,4.06,0.71,0.11,-6.577834123624047,0.8,0.47,0.47,0.0,0.04,0.15,0.13,0.5,0.84,0.15,0.915,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.04,0.47,0.27,0.0,0.02,1.41,0.0,2
12.68,72.19,4.92198500999949,4.62,0.81,0.2,-6.354736908517349,1.0,0.47,0.47,0.0,0.07,0.15,0.09,0.51,0.74,0.18,1.145,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.47,0.42,0.0,0.02,1.41,0.0,2
10.11,58.44,4.939784078811892,3.35,0.59,0.26,-7.632065380811078,1.14,0.6,0.6,0.0,0.04,0.09,0.07,0.6,0.54,0.09,0.935,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.61,0.24,0.0,0.0,1.81,0.0,2
11.82,69.36,5.13045644448727,4.2,0.9,0.27,-6.477831133671742,1.1,0.34,0.34,0.01,0.12,0.23,0.13,0.42,0.7,0.21,0.78,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.34,0.35,0.0,0.06,1.02,0.0,2
10.43,64.02,5.556402405891421,3.54,1.12,0.18,-6.634859923298178,0.7,0.34,0.34,0.0,0.05,0.2,0.13,0.45,0.71,0.13,1.31,0.0,0.0,0.0,0.03,0.0,0.04,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.03,0.36,0.35,0.0,0.02,1.02,0.0,2
11.45,68.24,5.191414199469931,3.99,0.79,0.2,-6.208692139737991,0.91,0.42,0.42,0.01,0.06,0.1,0.25,0.53,0.71,0.13,0.84,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.42,0.28,0.0,0.02,1.26,0.0,2
13.08,77.31,4.921787887602413,4.61,1.09,0.21,-5.797668501529051,0.88,0.38,0.38,0.0,0.03,0.13,0.13,0.46,1.0,0.22,1.04,0.0,0.0,0.0,0.11,0.0,0.02,0.0,0.17,0.0,0.01,0.0,0.0,0.0,0.11,0.4,0.47,0.0,0.02,1.13,0.0,2
12.08,69.54,4.874098722772833,4.18,0.81,0.18,-6.551482119205296,1.16,0.64,0.64,0.0,0.02,0.02,0.15,0.93,0.83,0.2,0.94,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.64,0.3,0.0,0.0,1.92,0.0,2
11.73,69.85,5.112514294538091,4.19,0.92,0.16,-6.528684484228474,1.01,0.42,0.42,0.0,0.09,0.18,0.13,0.76,0.9,0.35,1.215,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.45,0.4,0.0,0.08,1.26,0.0,2
12.92,75.91,5.0722540944702805,4.61,0.99,0.26,-6.012035913312694,0.55,0.29,0.29,0.0,0.09,0.17,0.17,0.35,1.14,0.26,0.97,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.28,0.0,0.04,0.87,0.0,2
21.25,130.08,4.920603450004674,6.71,1.11,0.23,-1.272005882352941,1.21,0.3,0.3,0.0,0.02,0.12,0.51,1.07,1.8,0.29,0.75,0.0,0.02,0.0,0.02,0.0,0.09,0.3,0.04,0.0,0.01,0.0,0.0,0.0,0.03,1.28,0.35,0.0,0.34,0.9,0.0,2
21.48,130.9,4.868548908111623,6.97,1.13,0.13,-1.30181303538175,0.87,0.23,0.23,0.01,0.03,0.05,0.77,1.04,1.84,0.18,0.81,0.0,0.02,0.0,0.1,0.02,0.12,0.25,0.04,0.05,0.0,0.0,0.0,0.0,0.11,1.48,0.25,0.0,0.28,0.67,0.0,2
21.68,133.26,4.955199862223274,6.75,1.32,0.21,-0.8973461254612545,0.91,0.2,0.21,0.01,0.13,0.04,0.52,0.89,1.79,0.25,0.865,0.0,0.03,0.0,0.09,0.02,0.04,0.19,0.02,0.0,0.01,0.0,0.0,0.0,0.12,1.35,0.33,0.0,0.2,0.67,0.0,2
21.43,129.71,4.858303467429955,7.01,1.2,0.11,-1.5167610359309371,1.07,0.22,0.23,0.02,0.02,0.04,0.69,0.96,1.73,0.19,0.7,0.0,0.04,0.0,0.02,0.0,0.09,0.26,0.03,0.0,0.0,0.0,0.0,0.0,0.02,1.32,0.3,0.0,0.34,0.69,0.0,2
23.25,143.17,5.032063519210201,8.19,1.12,0.39,-0.5692096774193534,0.83,0.24,0.24,0.0,0.02,0.12,0.64,1.18,1.9,0.28,0.62,0.0,0.01,0.0,0.05,0.0,0.06,0.22,0.1,0.0,0.0,0.0,0.0,0.1,0.05,1.08,0.29,0.01,0.17,0.77,0.0,2
