number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,number_of_words_in_bot_popular_words,number_of_words_in_human_popular_words,number_of_different_words,author_class
12.47,80.28,5.171948490235257,2.3,0.0,0.0,-3.970324699278267,3.48,1.92,1.92,0.0,0.0,0.0,0.13,2.03,0.21,0.01,0.97,0.0,0.01,0.0,0.01,0.0,0.06,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.01,1.94,0.06,0.0,0.0,5.82,0.0,5.92,0.32,0.3616680032076985,0
11.97,78.13,5.299974400900097,2.3,0.0,0.0,-3.8831035087719297,2.91,1.8,1.8,0.0,0.0,0.02,0.11,1.87,0.27,0.01,0.905,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.05,0.0,0.0,5.46,0.0,5.64,0.39,0.35505430242272346,0
12.44,78.76,5.107047589579323,2.46,0.0,0.0,-4.582290675241158,3.13,1.86,1.86,0.0,0.0,0.05,0.14,1.92,0.31,0.01,0.955,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.91,0.14,0.0,0.0,5.63,0.0,5.39,0.39,0.3754019292604502,0
12.94,83.49,5.221189728383072,2.54,0.0,0.0,-3.8500460587326124,3.27,1.93,1.93,0.01,0.0,0.01,0.2,2.03,0.36,0.03,0.99,0.0,0.02,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.11,0.0,0.0,5.88,0.0,6.13,0.44,0.3516228748068006,0
12.33,80.16,5.231393724739313,2.25,0.0,0.0,-3.862078588807787,3.13,1.82,1.82,0.02,0.0,0.0,0.14,1.88,0.22,0.02,0.915,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.06,0.0,0.0,5.56,0.0,5.75,0.32,0.34874290348742903,0
12.81,80.61,5.075691430172854,2.58,0.0,0.0,-4.219704996096798,3.37,1.96,1.96,0.0,0.0,0.02,0.12,2.0,0.39,0.02,1.0,0.0,0.0,0.0,0.01,0.0,0.06,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.01,2.0,0.15,0.0,0.0,5.9,0.0,5.99,0.57,0.36143637782982047,0
12.26,77.48,5.104385978510878,2.57,0.0,0.0,-4.331112234910279,3.25,1.91,1.91,0.0,0.0,0.01,0.08,2.0,0.34,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,5.81,0.0,5.79,0.5,0.34910277324632955,0
14.54,82.22,4.486132793150227,4.68,0.0,0.0,-5.731779642365888,1.01,0.01,0.6,0.0,0.21,0.12,0.23,1.1,1.5,0.23,0.32,0.0,0.0,0.0,0.09,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.64,0.19,0.0,0.1,1.8,0.0,3.09,3.45,0.4250343878954608,0
13.78,78.56,4.580841036684757,4.22,0.0,0.0,-5.994174455732946,0.88,0.0,0.51,0.0,0.15,0.13,0.22,1.05,1.21,0.2,0.27,0.0,0.0,0.0,0.09,0.0,0.04,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.54,0.18,0.0,0.04,1.53,0.0,2.56,3.26,0.45500725689404936,0
15.44,84.67,4.352278168495921,5.49,0.0,0.0,-5.6401616580310865,0.69,0.0,0.35,0.01,0.09,0.09,0.33,1.14,1.29,0.14,0.185,0.0,0.01,0.0,0.11,0.0,0.01,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.37,0.35,0.0,0.0,1.05,0.0,2.27,4.14,0.43523316062176165,0
13.27,73.91,4.449173991709366,4.13,0.0,0.0,-6.439869555388093,0.85,0.0,0.48,0.01,0.2,0.03,0.22,0.98,1.28,0.22,0.24,0.0,0.0,0.0,0.06,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.21,0.0,0.03,1.44,0.0,2.56,3.16,0.4400904295403165,0
14.32,79.85,4.448625667695401,4.78,0.0,0.0,-5.794445810055866,0.96,0.0,0.42,0.0,0.17,0.09,0.33,1.08,1.58,0.2,0.23,0.0,0.0,0.0,0.04,0.0,0.04,0.6,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.46,0.3,0.0,0.02,1.26,0.0,2.35,3.7,0.45321229050279327,0
14.38,80.4,4.45599822080486,4.89,0.0,0.0,-5.944526008344923,0.78,0.0,0.4,0.0,0.17,0.06,0.35,1.09,1.11,0.11,0.235,0.0,0.0,0.0,0.08,0.0,0.04,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.47,0.23,0.0,0.05,1.2,0.0,2.47,3.69,0.4513212795549374,0
14.61,81.31,4.423536690678866,4.85,0.0,0.0,-5.958766666666666,0.94,0.0,0.49,0.02,0.08,0.09,0.29,1.09,1.26,0.11,0.285,0.0,0.0,0.0,0.06,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.57,0.29,0.0,0.11,1.47,0.0,2.79,3.62,0.42915811088295686,0
14.42,80.85,4.482162720235948,4.94,0.0,0.0,-5.727365048543689,0.82,0.0,0.47,0.0,0.21,0.04,0.25,1.16,1.37,0.19,0.255,0.0,0.0,0.0,0.08,0.0,0.03,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.51,0.26,0.0,0.04,1.41,0.0,2.59,3.61,0.4486823855755895,0
15.28,84.07,4.35101112345176,5.29,0.0,0.0,-5.75409842931937,0.69,0.0,0.35,0.0,0.14,0.09,0.36,1.05,1.31,0.07,0.22,0.0,0.0,0.0,0.1,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.44,0.27,0.0,0.06,1.06,0.0,2.19,4.21,0.443717277486911,0
13.94,79.3,4.5095631276262615,4.44,0.0,0.0,-5.997158967001434,0.96,0.0,0.51,0.0,0.18,0.07,0.24,1.11,1.36,0.14,0.28,0.0,0.0,0.0,0.09,0.04,0.02,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.56,0.2,0.0,0.04,1.54,0.0,2.55,3.39,0.4612625538020086,0
15.14,83.78,4.348697492500445,5.12,0.0,0.0,-5.881965389696168,0.95,0.0,0.43,0.0,0.22,0.07,0.3,1.1,1.51,0.14,0.25,0.0,0.01,0.0,0.1,0.0,0.03,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.5,0.24,0.0,0.07,1.29,0.0,2.46,3.85,0.4299867899603699,0
13.65,76.19,4.466657886267026,4.76,0.0,0.0,-6.091115384615385,0.81,0.0,0.47,0.0,0.14,0.08,0.29,1.04,1.5,0.22,0.265,0.0,0.0,0.0,0.05,0.0,0.0,0.59,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.53,0.28,0.0,0.08,1.41,0.0,2.73,3.29,0.42857142857142855,0
14.61,81.37,4.4277365869330065,5.06,0.0,0.0,-5.999149965776866,0.82,0.0,0.44,0.0,0.09,0.1,0.29,1.05,1.23,0.17,0.245,0.0,0.0,0.0,0.09,0.04,0.02,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.49,0.24,0.0,0.05,1.32,0.0,2.46,3.82,0.43394934976043803,0
14.66,81.93,4.4609586819792435,5.03,0.0,0.0,-5.534127967257843,0.76,0.01,0.5,0.0,0.11,0.07,0.21,1.12,1.42,0.15,0.255,0.0,0.01,0.0,0.02,0.07,0.02,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.51,0.28,0.0,0.0,1.51,0.0,2.82,3.5,0.4413369713506139,0
13.78,76.95,4.452579378041083,4.55,0.0,0.0,-6.114058345428155,0.88,0.0,0.51,0.0,0.12,0.05,0.24,1.06,1.11,0.17,0.27,0.0,0.0,0.0,0.05,0.0,0.02,0.69,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.54,0.28,0.0,0.0,1.53,0.0,2.75,3.2,0.4397677793904209,0
15.21,83.87,4.356083438934846,5.03,0.0,0.0,-5.856653583168967,0.94,0.0,0.49,0.0,0.25,0.09,0.35,1.18,1.6,0.18,0.255,0.0,0.0,0.0,0.09,0.03,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.51,0.19,0.0,0.0,1.48,0.0,2.61,3.97,0.443129520052597,0
14.13,80.17,4.495903805397649,4.68,0.0,0.0,-5.987297169143666,0.88,0.0,0.46,0.0,0.19,0.02,0.34,1.19,1.35,0.13,0.24,0.0,0.0,0.0,0.06,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.21,0.0,0.08,1.38,0.0,2.68,3.7,0.44798301486199577,0
14.26,79.76,4.452050802617165,4.93,0.0,0.0,-6.081475175315568,0.93,0.0,0.39,0.0,0.15,0.08,0.29,1.11,1.32,0.16,0.22,0.0,0.0,0.0,0.04,0.0,0.02,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.44,0.29,0.0,0.0,1.17,0.0,2.48,3.72,0.438288920056101,0
14.19,80.71,4.5342367654573605,4.37,0.0,0.0,-5.548782311486963,1.0,0.0,0.58,0.0,0.13,0.11,0.29,1.13,1.14,0.13,0.3,0.0,0.0,0.0,0.08,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.14,0.0,0.08,1.75,0.0,2.96,3.15,0.4439746300211416,0
14.13,80.67,4.562616793223539,4.58,0.0,0.0,-5.678309200283085,0.84,0.0,0.47,0.0,0.12,0.06,0.24,1.14,1.37,0.2,0.295,0.0,0.01,0.0,0.05,0.0,0.03,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.59,0.23,0.0,0.0,1.41,0.0,2.63,3.48,0.45152158527954706,0
4.27,24.85,4.416071428571429,1.0,0.0,0.0,-10.276924824355971,1.64,0.0,1.0,0.0,0.0,0.0,0.18,1.09,0.02,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.01,0.0,0.3044496487119438,0
5.32,35.77,5.036785714285714,1.01,0.0,0.0,-6.417455639097744,1.59,0.0,1.0,0.0,0.0,0.0,0.86,1.43,0.08,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.03,0.01,0.42857142857142855,0
5.53,37.51,5.098928571428572,1.0,0.0,0.0,-6.583752079566004,1.83,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.07,0.02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.4538878842676311,0
5.49,37.37,5.115714285714287,1.01,0.0,0.0,-6.549446448087432,1.66,0.0,1.0,0.0,0.0,0.0,0.98,1.49,0.11,0.04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,3.0,0.0,3.02,0.02,0.4553734061930783,0
5.5,37.39,5.109285714285714,1.0,0.0,0.0,-5.850090909090907,1.69,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.04,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.01,0.01,0.46,0
5.28,35.21,5.013035714285715,1.01,0.0,0.0,-6.491027272727273,1.68,0.17,1.0,0.0,0.0,0.0,0.84,1.42,0.04,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,3.0,0.0,2.84,0.02,0.4356060606060606,0
5.47,37.91,5.210357142857143,1.0,0.0,0.0,-5.431837111517368,1.51,0.0,1.0,0.0,0.0,0.0,0.98,1.49,0.03,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.03,0.0,0.4460694698354662,0
5.51,37.54,5.121785714285714,1.01,0.0,0.0,-5.817143557168784,1.49,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.1,0.06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.01,0.01,0.4573502722323049,0
5.49,37.44,5.123571428571431,1.01,0.0,0.0,-5.926131329690346,1.6,0.0,1.0,0.0,0.0,0.0,0.98,1.49,0.11,0.03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.03,0.01,0.44808743169398907,0
5.51,38.08,5.232321428571428,1.0,0.0,0.0,-6.887923956442831,1.57,0.65,1.0,0.0,0.0,0.0,1.0,1.5,0.03,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.38,0.01,0.4591651542649728,0
19.46,100.82,4.143926031067988,9.5,0.0,0.0,-5.120332785200411,0.05,0.01,0.01,0.0,0.04,0.01,1.17,1.64,1.23,0.14,0.025,0.0,0.0,0.0,0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.69,0.0,0.02,0.03,0.0,1.32,7.31,0.2276464542651593,0
13.8,77.04,4.431144739222653,4.28,0.0,0.0,-6.0951014492753615,0.85,0.0,0.49,0.0,0.11,0.08,0.2,1.05,1.36,0.28,0.26,0.0,0.0,0.0,0.05,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.52,0.36,0.0,0.06,1.47,0.0,2.52,3.48,0.4572463768115942,0
15.08,83.83,4.428225455465363,5.3,0.0,0.0,-5.55376021220159,0.92,0.0,0.44,0.0,0.18,0.04,0.26,1.03,1.53,0.16,0.255,0.0,0.0,0.0,0.04,0.0,0.04,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.51,0.34,0.0,0.06,1.32,0.0,2.62,4.14,0.4350132625994695,0
14.33,80.29,4.455839049953601,4.54,0.0,0.0,-5.982877110956036,0.86,0.0,0.49,0.0,0.19,0.04,0.34,1.09,1.41,0.13,0.265,0.0,0.0,0.0,0.08,0.03,0.02,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.53,0.12,0.0,0.05,1.47,0.0,2.68,3.19,0.4515003489183531,0
14.72,83.41,4.532214579759693,4.98,0.0,0.0,-5.68873804347826,0.9,0.0,0.47,0.0,0.32,0.04,0.33,1.04,1.45,0.21,0.255,0.0,0.01,0.0,0.06,0.0,0.03,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.51,0.3,0.0,0.02,1.41,0.0,2.7,3.45,0.4470108695652174,0
14.23,79.75,4.451485317133597,4.72,0.0,0.0,-5.985345678144764,0.88,0.0,0.43,0.01,0.09,0.02,0.28,1.08,1.36,0.13,0.235,0.0,0.0,0.0,0.08,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.47,0.32,0.0,0.05,1.29,0.0,2.27,3.72,0.46099789177793393,0
14.32,80.93,4.464451604713992,4.58,0.0,0.0,-5.654362011173184,0.87,0.0,0.45,0.0,0.17,0.1,0.33,1.22,1.23,0.09,0.24,0.0,0.0,0.0,0.06,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.48,0.25,0.0,0.0,1.35,0.0,2.61,3.39,0.4378491620111732,0
14.19,77.46,4.323285979394666,4.64,0.0,0.0,-6.1475138125440445,0.79,0.0,0.42,0.0,0.2,0.1,0.35,1.09,1.41,0.11,0.23,0.0,0.0,0.0,0.06,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.46,0.37,0.0,0.04,1.26,0.0,2.52,3.6,0.44608879492600423,0
14.0,77.08,4.327929770224104,4.84,0.0,0.0,-6.758571428571429,0.91,0.01,0.49,0.01,0.2,0.03,0.25,1.14,1.4,0.1,0.25,0.0,0.0,0.0,0.05,0.0,0.02,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5,0.22,0.0,0.02,1.47,0.0,2.61,3.4,0.43785714285714283,0
14.82,83.2,4.425220724798376,4.87,0.0,0.01,-5.677811336032388,1.0,0.0,0.54,0.0,0.24,0.12,0.28,1.24,1.42,0.16,0.3,0.0,0.01,0.0,0.05,0.0,0.04,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.6,0.29,0.0,0.03,1.62,0.0,2.79,3.54,0.4284750337381916,0
14.75,81.29,4.414761996229611,5.01,0.0,0.0,-5.701499999999999,0.78,0.0,0.46,0.0,0.19,0.08,0.3,1.02,1.4,0.19,0.26,0.0,0.0,0.0,0.03,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.52,0.33,0.0,0.14,1.38,0.0,2.51,3.89,0.45016949152542374,0
17.69,104.48,4.491630270529267,4.24,0.0,0.0,-4.435162295081966,6.68,1.0,1.0,0.0,0.01,0.01,0.0,1.05,0.44,0.08,0.595,0.0,0.0,0.0,0.03,0.0,2.0,1.81,0.0,0.0,0.0,2.0,0.0,0.0,0.03,1.19,0.01,0.0,0.0,3.3,0.0,4.08,2.42,0.18711136235161108,0
17.36,101.58,4.440361694119434,4.45,0.0,0.0,-4.863609216589861,6.23,1.0,1.0,0.0,0.02,0.0,0.01,1.0,0.48,0.06,0.585,0.0,0.0,0.0,0.01,0.0,2.0,1.9,0.0,0.0,0.0,2.0,0.0,0.0,0.01,1.17,0.02,0.0,0.0,3.17,0.0,4.09,2.72,0.20506912442396313,0
17.13,100.32,4.448297553581611,4.37,0.0,0.0,-4.907081669585523,6.56,1.0,1.0,0.0,0.0,0.02,0.0,1.07,0.37,0.09,0.55,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.06,0.0,0.0,3.18,0.0,4.14,2.65,0.20548744892002335,0
17.41,102.28,4.47089607764956,4.3,0.0,0.0,-4.279364790350373,7.1,1.0,1.0,0.0,0.01,0.03,0.0,1.02,0.21,0.03,0.55,0.0,0.0,0.0,0.0,0.0,2.0,1.92,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.03,0.0,0.0,3.4,0.0,4.11,2.54,0.17174037909247558,0
17.55,101.1,4.3685360238772635,4.47,0.0,0.0,-4.765101139601139,6.93,1.0,1.0,0.0,0.0,0.0,0.04,1.11,0.29,0.0,0.55,0.0,0.0,0.0,0.02,0.0,2.02,1.86,0.0,0.0,0.0,2.0,0.0,0.0,0.02,1.1,0.1,0.0,0.0,3.31,0.0,4.12,2.59,0.19145299145299147,0
17.7,104.08,4.474714894823473,4.36,0.0,0.0,-4.380333333333333,6.71,1.0,1.0,0.0,0.0,0.0,0.02,1.02,0.38,0.07,0.57,0.0,0.0,0.0,0.01,0.0,2.0,1.95,0.0,0.0,0.0,2.0,0.0,0.0,0.01,1.14,0.06,0.0,0.0,3.33,0.0,4.06,2.62,0.192090395480226,0
17.68,103.02,4.426462470332423,4.38,0.0,0.0,-4.503397285067873,6.82,1.0,1.0,0.0,0.03,0.02,0.03,1.0,0.39,0.02,0.57,0.0,0.0,0.0,0.03,0.0,2.0,1.92,0.0,0.0,0.0,2.0,0.0,0.0,0.03,1.14,0.07,0.0,0.0,3.34,0.0,4.09,2.57,0.17760180995475114,0
17.56,103.88,4.506838700739294,4.32,0.0,0.0,-4.420757175398634,6.44,1.0,1.0,0.0,0.01,0.0,0.01,1.0,0.44,0.05,0.56,0.0,0.0,0.0,0.01,0.0,2.12,1.89,0.0,0.0,0.0,2.0,0.0,0.0,0.01,1.12,0.04,0.0,0.0,3.29,0.0,4.04,2.65,0.18109339407744876,0
17.39,102.11,4.4676211695925865,4.26,0.0,0.0,-4.5262438757906835,6.52,1.0,1.0,0.0,0.0,0.0,0.03,1.0,0.29,0.04,0.55,0.0,0.0,0.0,0.01,0.0,2.0,1.98,0.0,0.0,0.0,2.0,0.0,0.0,0.01,1.1,0.05,0.0,0.0,3.31,0.0,4.03,2.51,0.18171362852213915,0
17.49,102.59,4.454325197196278,4.41,0.0,0.0,-4.518471183533448,6.62,1.0,1.0,0.0,0.07,0.0,0.05,1.0,0.35,0.04,0.57,0.0,0.0,0.0,0.01,0.0,2.0,1.92,0.0,0.0,0.0,2.0,0.0,0.0,0.01,1.14,0.03,0.0,0.0,3.3,0.0,4.09,2.64,0.1863922241280732,0
4.22,26.69,5.7678690476190475,0.64,0.0,0.0,-7.0934890995260655,0.27,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.14,0.06,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.02,0.0,0.0,0.1,0.52,0.7772511848341233,0
4.74,28.56,5.726569444444444,1.38,0.02,0.0,-7.119459071729956,0.06,0.02,0.02,0.0,0.0,0.01,0.0,0.02,0.2,0.01,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0,0.06,0.0,0.24,1.06,0.6687763713080169,0
4.15,27.75,6.237380952380951,0.59,0.0,0.03,-5.896319277108432,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.13,0.46,0.7927710843373494,0
4.38,28.04,5.886892857142857,0.82,0.0,0.0,-6.203717808219176,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.02,0.0,0.0,0.11,0.61,0.7328767123287672,0
4.3,26.81,5.713523809523809,0.92,0.0,0.0,-7.354395348837208,0.25,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.15,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.23,0.51,0.7255813953488373,0
4.78,28.99,5.587040372670808,1.16,0.01,0.01,-7.52956569037657,0.14,0.01,0.02,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.06,0.0,0.31,0.67,0.6715481171548117,0
5.29,30.83,5.1968556998557,1.75,0.0,0.0,-8.173402835538752,0.11,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.26,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.1,0.0,0.0,0.03,0.0,0.3,1.27,0.6351606805293005,0
4.6,27.59,5.362384920634923,1.1,0.05,0.0,-7.6394782608695655,0.12,0.0,0.02,0.0,0.0,0.0,0.01,0.03,0.12,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.02,0.06,0.0,0.31,0.68,0.7282608695652174,0
5.82,34.59,5.279806103600863,1.59,0.02,0.0,-7.7040487972508584,0.1,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.22,0.06,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.0,0.08,0.0,0.3,1.13,0.6408934707903781,0
5.76,32.84,5.0581024335141995,2.0,0.02,0.0,-8.54985,0.07,0.01,0.02,0.0,0.0,0.0,0.0,0.04,0.27,0.06,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.07,0.0,0.27,1.33,0.625,0
15.52,85.43,4.4014565323022445,5.46,0.0,0.0,-5.735653608247421,1.04,0.0,0.37,0.0,0.15,0.07,0.43,1.14,1.39,0.2,0.225,0.0,0.03,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.45,0.33,0.0,0.11,1.11,0.0,2.44,4.35,0.44072164948453607,0
14.82,82.19,4.398477664008019,4.98,0.0,0.0,-6.131657489878542,0.89,0.0,0.47,0.01,0.34,0.04,0.37,1.12,1.34,0.17,0.265,0.0,0.0,0.0,0.12,0.0,0.02,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.53,0.37,0.0,0.0,1.41,0.0,2.81,3.8,0.42780026990553305,0
14.54,81.1,4.425250987946887,5.11,0.0,0.0,-5.934668225584595,0.94,0.0,0.46,0.0,0.15,0.08,0.29,1.1,1.34,0.12,0.265,0.0,0.01,0.0,0.09,0.0,0.01,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.53,0.29,0.0,0.04,1.38,0.0,2.74,3.57,0.4305364511691884,0
15.2,85.9,4.503516548639042,5.06,0.0,0.0,-5.291342105263158,0.73,0.0,0.39,0.01,0.15,0.12,0.44,1.19,1.4,0.12,0.25,0.0,0.0,0.0,0.09,0.0,0.02,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.5,0.3,0.0,0.08,1.17,0.0,2.43,3.9,0.45,0
14.95,82.46,4.389293545652268,5.31,0.0,0.0,-5.891941471571906,0.73,0.0,0.42,0.0,0.13,0.08,0.36,1.06,1.25,0.05,0.225,0.0,0.01,0.0,0.04,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.45,0.31,0.0,0.0,1.26,0.0,2.45,3.96,0.431438127090301,0
14.86,82.77,4.41221752880451,4.9,0.0,0.0,-5.816268909825034,1.01,0.0,0.46,0.0,0.23,0.09,0.42,1.06,1.31,0.2,0.245,0.0,0.0,0.0,0.08,0.0,0.04,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.49,0.36,0.0,0.04,1.39,0.0,2.46,3.68,0.45020188425302826,0
14.29,78.49,4.307272532296006,4.98,0.0,0.01,-6.325787333799859,0.73,0.0,0.38,0.0,0.17,0.09,0.33,1.15,1.33,0.14,0.205,0.0,0.01,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.41,0.36,0.0,0.07,1.14,0.0,2.22,3.79,0.45066480055983205,0
